variant,cow,first_sensor_time,last_sensor_time_before_score,primary_coverage,pre7_hybrid_notifs,pre7_hybrid_frac_time,pre7_hybrid_score_max,pre7_instability_surveillance_frac,pre7_hypo_notifs,pre7_instability_notifs,future_hybrid_notif_per_cow_day,sls_jan,sls_mar,treatment,sls_ge_2
hierarchical,8506,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.43154761904761907,0.9749999999999999,0.008928571428571428,4,1,0.7827338129496403,0.0,1.0,No_Exercise,0
hierarchical,8508,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,7,0.49255952380952384,0.9749999999999999,0.019345238095238096,4,3,0.8287769784172662,0.0,1.0,Exercise,0
hierarchical,8510,2019-01-17 08:30:00,2019-03-11 23:45:00,0.9940476190476191,3,0.4538690476190476,0.9595550666762317,0.017857142857142856,3,2,0.6997084548104956,1.0,1.0,Exercise,0
sequential_24_72h,2047,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,2,0.004464285714285714,0.9588389610389609,0.00744047619047619,5,1,0.1381294964028777,2.0,1.0,No_Exercise,0
sequential_24_72h,2056,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.008928571428571428,0.9255442277255153,0.019345238095238096,5,5,0.5525179856115108,1.0,2.0,Exercise,1
sequential_24_72h,2063,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,2,0.002976190476190476,1.0,0.011904761904761904,3,1,0.1841726618705036,1.0,0.0,No_Exercise,0
sequential_24_72h,2069,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,1,0.001488095238095238,0.8902872777017783,0.0,2,1,0.2302158273381295,2.0,1.0,No_Exercise,0
sequential_24_72h,3437,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.00744047619047619,1.0,0.017857142857142856,4,3,0.4755090809025867,0.0,1.0,,0
sequential_24_72h,3443,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,3,0.004464285714285714,1.0,0.00744047619047619,5,3,0.5064748201438849,2.0,2.0,Exercise,1
sequential_24_72h,5221,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,3,0.004464285714285714,0.9749999999999999,0.01488095238095238,3,5,0.460431654676259,2.0,1.0,No_Exercise,0
sequential_24_72h,5246,2019-01-23 13:00:00,2019-03-11 23:45:00,0.9940476190476191,3,0.004464285714285714,1.0,0.00744047619047619,5,4,0.36923076923076925,2.0,2.0,Exercise,1
sequential_24_72h,5250,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,3,0.004464285714285714,0.9749999999999999,0.049107142857142856,2,2,0.5525179856115108,1.0,1.0,Exercise,0
sequential_24_72h,8500,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,3,0.004464285714285714,1.0,0.046130952380952384,3,3,0.6446043165467625,0.0,1.0,No_Exercise,0
sequential_24_72h,8505,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,4,0.005952380952380952,0.9947913141310014,0.013392857142857142,2,5,0.32230215827338127,0.0,0.0,No_Exercise,0
sequential_24_72h,8506,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,1,0.001488095238095238,0.9749999999999999,0.008928571428571428,4,1,0.4143884892086331,0.0,1.0,No_Exercise,0
sequential_24_72h,8508,2019-01-16 15:15:00,2019-03-11 23:45:00,0.9940476190476191,5,0.00744047619047619,0.9749999999999999,0.019345238095238096,4,3,0.5064748201438849,0.0,1.0,Exercise,0
sequential_24_72h,8510,2019-01-17 08:30:00,2019-03-11 23:45:00,0.9940476190476191,3,0.004464285714285714,0.9595550666762317,0.017857142857142856,3,2,0.23323615160349853,1.0,1.0,Exercise,0
